,Date,Headline,Category
6707,1/12/99,Robertson Surfaces As an Online Banker,Money & Investing
17277,1/12/99,CyberCash Looks to InstaBuy,Tech Center
2407,1/13/99,Hong Kong Shares Lead Asia Sell-Off,Asian Stocks
17592,1/13/99,SyQuest Sells Assets to Iomega,Tech Center
5452,1/14/99,US Stocks Beaten But Not Broken By Brazil Situation,Today's Markets
11941,1/14/99,Dayton Moves to Please Investors,Major Business News
2187,1/16/99,Trials Begin for 5 Soldiers,Business and Finance - Asia
1104,1/19/99,Western Digital Reports Loss,Tech Center
14710,1/20/99,Computer Associates Profit Rises,Tech Center
299,1/21/99,iMac Sold Well in Holidays,Tech Center
15670,1/21/99,Blue Chips Fall But Nasdaq Hits Another Record,Today's Markets
18623,1/21/99,China Refuses to Bail Out Ditic,Business and Finance - Asia
12937,1/22/99,IBM Sinks Industrial Average As Tech Stocks Stumble Again,US Stocks
5900,1/23/99,Korean Banks to Lower Rates,Business and Finance - Asia
7336,1/23/99,IOC Members Face A Crucial Meeting,Business and Finance - Europe
7956,1/23/99,Official Apologizes to Salt Lake City,World-Wide
17673,1/25/99,MP3 Initiative Is Announced,Tech Center
1277,1/26/99,Labor Reform Key to EU Economy,Business and Finance - Europe
1152,1/27/99,Korean Shares Soar US Gains Buoy Asia,Asian Stocks
3856,1/27/99,Warner-Lambert to Buy Agouron,Major Business News
9656,1/27/99,Web Merchants Post Brisk Sales,Tech Center
7152,1/28/99,Takeover Earnings News Is Expected to Lift Stocks,Money & Investing
2313,1/30/99,Creative Tech Matches Estimates,Tech Center
8515,1/30/99,Samsung Plans to Raise Investment,Tech Center
19225,1/31/99,REIT Trading Volume Sets Record,Major Business News
7839,2/2/99,Rising Yields Boost the Yen,Foreign Exchange
13239,2/2/99,And Now for the Bad News,Commentary
511,2/3/99,Renong to Offer Restructuring Proposal,Business and Finance - Asia
3849,2/4/99,MCI WorldCom Plans New Service,Tech Center
5959,2/4/99,Your House Is More Than a Home It's One of Your Best Tax Shelters,Money & Investing
17894,2/4/99,Cambridge Beats Estimates,Tech Center
5980,2/5/99,Asian Stock Markets Close Mostly Lower,Asian Stocks
7702,2/5/99,VerticalNet Signals Next Wave in IPOs,Money & Investing
10476,2/5/99,Signs of US Economic Strength Boost Dollar vs the Yen Euro,Foreign Exchange
4896,2/6/99,Market Confidence Lifts Taiwan 43,Asian Stocks
16085,2/7/99,Clinton Pays Tribute To King Hussein,World-Wide
9623,2/8/99,Wireless-Phone Sales Surge,Tech Center
16015,2/8/99,Jobless Rate Remains at 43,Economy
9881,2/10/99,South Korea Unveils Bankruptcy Plan,Business and Finance - Asia
18388,2/10/99,Work Stops on Cancer Drug,Major Business News
12783,2/11/99,Asian Stocks Rise Singapore Rebounds,Asian Stocks
17322,2/11/99,Jordan Resigns as Head of Sidanko,Business and Finance - Europe
937,2/12/99,Soap-Opera Sleuths Go High-Tech,Tech Center
3615,2/12/99,There Are Several New Twists To Individual Retirement Accounts,Money & Investing
6376,2/12/99,American Accuses Pilots of Contempt,Major Business News
1592,2/13/99,British ITC Urges Caution on BSkyB Deal,Business and Finance - Europe
6071,2/13/99,Farmland Prices Slip in Great Plains,Major Business News
6419,2/13/99,Schroeder Wants To Avoid Strike Across Germany,Business and Finance - Europe
8033,2/13/99,IFC Approves Aid for Ssangyong,Business and Finance - Asia
2444,2/14/99,Union Asks AMR Pilots to Go Back,Major Business News
13189,2/14/99,Officials Support Open Markets,Business and Finance - Asia
16409,2/14/99,Bank Chief's Successor Is Chosen,Business and Finance - Asia
7015,2/15/99,Paths Diverge on Russia Central Europe,Business and Finance - Europe
7670,2/15/99,BMW Denies GM Will Make Offer,Major Business News
10068,2/15/99,BA American Seal Iberia Deal,Business and Finance - Europe
2854,2/16/99,Hicks Muse Ends Coho Plans,Major Business News
4060,2/19/99,Gains in Blue Chips Aid Market's Slow Recovery,US Stocks
10137,2/19/99,Wholesale Prices Climb,Economy
10600,2/20/99,Stimulus Efforts Lift Taiwan Stocks 47,Asian Stocks
6832,2/21/99,Mannesmann Will Buy Olivetti Stake,Business and Finance - Europe
8983,2/21/99,Business Confidence Hit Record High,Business and Finance - Asia
9524,2/21/99,Olivetti Confirms 58 Billion Bid To Purchase Rival Telecom Italia,Business and Finance - Europe
11795,2/22/99,United Technologies to Acquire Sundstrand,Major Business News
12410,2/23/99,Blodget Leaves for Merrill,Tech Center
18369,2/23/99,Viacom to Expand Its Online Presence,Tech Center
15512,2/24/99,Telkom's 1998 Net Rose 15,Business and Finance - Asia
18705,2/25/99,Brazil Returns to Steadying Real,Americas
2483,2/26/99,Science Tech Funds Rebound After Rout,Money & Investing
10479,2/26/99,Why the French Elites Hate America,Commentary
3684,2/27/99,FDA Panel Backs Glucose Monitor,World-Wide
5784,2/27/99,France Posts Upbeat GDP Jobless Data,Business and Finance - Europe
14203,2/27/99,US and Britain Strike Iraq,World-Wide
14490,2/28/99,China Premier Returns From Moscow,Business and Finance - Asia
16077,2/28/99,India Announces Fund Bailout,Business and Finance - Asia
12493,3/1/99,CheckFree Discusses Online Billing,Tech Center
11664,3/2/99,Digital City Turns a Profit,Tech Center
16532,3/2/99,Manufacturing Climbs,Economy
4953,3/3/99,Heineken's 1998 Net Rose 29,Business and Finance - Europe
19063,3/3/99,OfficeMax Posts Loss in Quarter,Major Business News
15181,3/4/99,Belgium's KBC to Buy Stake in CCF,Business and Finance - Europe
6120,3/5/99,Hummingbird To Acquire PC Docs,Tech Center
11012,3/6/99,Wal-Mart Stock Split Lifts Shares,Major Business News
13853,3/6/99,Taiwan Stocks Rise After Tokyo's Rally,Asian Stocks
17047,3/7/99,Endesa Completes Investigation,Business and Finance - Europe
2080,3/9/99,Tech Stocks Rally Bolsters Nasdaq S&P 500 at Record,Today's Markets
4527,3/10/99,Stocks Are Expected to Idle As Blue Chips Techs Stall,Money & Investing
8106,3/10/99,Dow Industrials Decline by 3385 On Tech Fears,Today's Markets
11601,3/10/99,Reliant Energy to Buy Dutch Firm,Major Business News
11395,3/12/99,Mahuad Freezes Bank Accounts,Americas
19099,3/12/99,US Nonfinancial Debt Expanded,Major Business News
12195,3/13/99,Telecom Italia Limits Investments,Business and Finance - Europe
14360,3/13/99,Korean Firm to Pay Back Debts,Business and Finance - Asia
15780,3/14/99,Lewis Does It All -- Except Win Fight,Sports
15960,3/14/99,Buffet Keeps Quiet on Silver,Major Business News
17624,3/14/99,Argentina Discusses Dollarizing Economy,Americas
8839,3/15/99,DuPont Agrees to Buy Seed Firm,Major Business News
16295,3/15/99,Rite Aid Warns It Will Miss Estimates,Major Business News
16037,3/16/99,AT&T Sees More Cable-TV Deals,Tech Center
12787,3/17/99,USA Has Lycos Option,Tech Center
3059,3/18/99,Highlights From CNET Discussion,Money & Investing
255,3/19/99,Treasurys Prices Are Pressured By Coming Corporate Supply,Credit Markets
10582,3/19/99,How One Man Proved Silicon Valley Wrong,Tech Center
13724,3/19/99,IBM Stumble Pulls Industrials Back Below 10000 Mark,Today's Markets
15378,3/20/99,Allen Could Control Go2Net Board,Tech Center
1097,3/21/99,San Paolo IMI Announces Merger Offer,Business and Finance - Europe
2904,3/21/99,Singapore Bans Live-Pig Imports,Business and Finance - Asia
17022,3/22/99,MiningCo Boosts IPO's Price Range,Tech Center
10813,3/23/99,Italy's Unemployment Rate Declines,Business and Finance - Europe
16614,3/24/99,Faraco Named to Head Central Bank,Americas
9030,3/25/99,GOP Unveils Debate on Priorities,World-Wide
15151,3/26/99,Links LS 1999 Is Still a Winner,Tech Center
18298,3/26/99,Labor Demand Remains High,Economy
1875,3/27/99,York International to Buy Sabroe,Major Business News
3806,3/27/99,IMF Official Arrives in Russia,Business and Finance - Europe
6471,3/27/99,California to Phase Out MTBE,Major Business News
5916,3/28/99,AES Corp Subsidiary Buys Ecogen,Business and Finance - Asia
7698,3/29/99,GOP Struggles Over Surplus,Economy
16833,3/29/99,Gold Falls 340 to 27970 Hurt by Dollar's Strength,Money & Investing
18839,3/30/99,Fiat to Buy PICO for 350 Million,Business and Finance - Europe
15352,3/31/99,Moscow Seeks Debt Write-Off,Business and Finance - Europe
1460,4/1/99,Pepsi Bottling Falls Below IPO Price,Major Business News
3419,4/2/99,Firms Eye Home Networking,Tech Center
14663,4/2/99,Technology Briefs,Tech Briefs
16700,4/2/99,Long-Bond Price Surges After Employment Report,Credit Markets
10923,4/3/99,Taiwan Stocks Slip Following 3 Rise,Asian Stocks
9048,4/4/99,Arrest Is Made in Melissa Case,Tech Center
13688,4/6/99,Theglobecom Extends Reach,Tech Center
18395,4/7/99,Apollo Invests in National Financial,Major Business News
18851,4/7/99,Stocks Are Likely to Benefit From Solid Gains Overseas,Money & Investing
8376,4/8/99,Russia's Central Bank Tightens Forex Rules,Business and Finance - Europe
15945,4/8/99,Readers Face Off With Pros and Darts,Money & Investing
3818,4/9/99,Jakarta Stocks Surge Following US Gains,Asian Stocks
4872,4/9/99,Williams Cos Unit Plans Massive IPO,Tech Center
7691,4/10/99,Blue-Chip Stocks Dip Lower As Investors Lock In Profits,US Stocks
14869,4/10/99,Komag Announces Planned Job Cuts,Tech Center
1934,4/12/99,IXC Electric Lightwave Announce Deal,Tech Center
3732,4/12/99,IRS Slashes Number of Audits,Major Business News
15410,4/12/99,Nikkei Drops 21 On Profit Warning,Asian Stocks
11525,4/13/99,Buyout Firms See Profit In Smaller Companies,Heard on the Street
11739,4/13/99,Sunbeam Wins More Loan Relief,Major Business News
11468,4/14/99,Mannesmann Forecasts Higher '99 Profit,Business and Finance - Europe
18872,4/14/99,DaimlerChrysler Faces Charges,Business and Finance - Europe
8637,4/15/99,Mattel Plans Internet Venture,Tech Center
1905,4/16/99,Good Numbers Help Inktomi,Tech Center
3407,4/16/99,Onsale Plans Spurs Doubts,Tech Center
8257,4/16/99,Greenspan's Speech Fails To Halt Selling in Treasurys,Credit Markets
1603,4/17/99,Stocks Drop 69 In India After Vote,Asian Stocks
9109,4/17/99,Daewoo Group to Make Payments,Business and Finance - Asia
8927,4/18/99,Court Rules on Domain Name,Tech Center
13595,4/19/99,Technology Briefs,Tech Briefs
9069,4/20/99,Prodigy Shows Small Sales Gain,Tech Center
14592,4/20/99,SBC Ameritech Meet Estimates,Tech Center
9270,4/21/99,Network Associates Forecasts Trouble,Tech Center
7705,4/22/99,Banks Telecom Firms Face IPO Hurdles,Money & Investing
18012,4/22/99,CNET Sales More Than Double,Tech Center
8841,4/23/99,Chief's Exit Hurts Iridium Shares,Tech Center
6464,4/24/99,Brokers Cry Foul Over ETrade Ads,Tech Center
6573,4/24/99,NATO's Statement on Kosovo,World-Wide
19211,4/24/99,Excerpts of NATO Communique,World-Wide
9864,4/25/99,Jury Decides Against Hyundai Unit,Business and Finance - Asia
13882,4/25/99,Korea's 1999 GDP Expected to Rise,Business and Finance - Asia
1467,4/27/99,Money Laundering Divides US Antigua,Americas
8768,4/27/99,G-7 Nations Show Cautious Optimism,Major Business News
10523,4/27/99,Tech Stocks Lift Nasdaq Composite To a New Record,Today's Markets
13518,4/28/99,AOL Says Its Profit Triples,Tech Center
18931,4/28/99,Cisco Makes Another Deal,Tech Center
6101,4/30/99,Asian Equities Rise But Nikkei Falls 14,Asian Stocks
8904,4/30/99,MediaOne in Talks With Microsoft AOL,Tech Center
9662,4/30/99,St Louis Files Suit Against Gun Industry,Major Business News
2022,5/1/99,AT&T Union Discuss Job Reductions,Tech Center
17754,5/1/99,Mexico Rejects Coke's Cadbury Plan,Americas
17759,5/2/99,ADB Looks to Focus on Poverty,Major Business News
3295,5/3/99,US Steps Up Asia-Trade Pressure,Business and Finance - Asia
8395,5/3/99,Mediacom Buys Triax's Systems,Tech Center
8681,5/3/99,How the Largest Funds Fared,Money & Investing
5866,5/4/99,Qwest Hires Senior BT Official,Tech Center
18528,5/4/99,Manufacturing Growth Slows,Economy
9037,5/5/99,Sun Announces Plan on 'Outsourcers',Tech Center
1182,5/6/99,Honda Will Open Alabama Plant,Major Business News
13273,5/6/99,Bank of Korea Holds the Line on Rates,Business and Finance - Asia
9467,5/7/99,Tailoring Insurance To Consumers' Needs,Business and Finance - Europe
16679,5/7/99,Canada Posts Jump in Jobless Rate,Americas
4175,5/8/99,Blue Chips Reach Record As Inflation Fears Dissipate,US Stocks
11907,5/9/99,EU Wants to Expand WTO Priorities,Business and Finance - Europe
13000,5/10/99,Sports Web Firm to Buy Soccer Site,Tech Center
18882,5/10/99,Business Leaders Shrug Off Worries,Major Business News
14419,5/11/99,Stocks End Mixed As Blue Chips Sink Bonds Lift Techs,Today's Markets
15055,5/11/99,Stora Enso Earnings Tumble 12,Business and Finance - Europe
5271,5/12/99,Nasdaq Climbs For Third Day Bonds Decline,Today's Markets
7121,5/13/99,Barshefsky Issues Warning to Japan,Business and Finance - Asia
9273,5/13/99,Tax-Cutting Binge Wanes,Economy
6430,5/14/99,McCain Seeks to Free Bells,Tech Center
2507,5/15/99,Japan Wants Job Reforms by June,Business and Finance - Asia
13743,5/15/99,Taiwan Stocks Slip On Profit-Taking,Asian Stocks
7412,5/16/99,Bell Canada Workers Ratify Contract,Americas
16410,5/17/99,CarsDirect to Sell Only on Web,Tech Center
4751,5/18/99,Stocks Are Poised to Open Mixed As Investors Wait Vote on Rates,Money & Investing
657,5/19/99,Dell Computer's Net Rises 42,Tech Center
6322,5/19/99,Amazon's Move Boosts Peapod,Tech Stocks
7906,5/20/99,Healtheon WebMD Announce Deal,Tech Center
10205,5/20/99,MTV to Buy SonicNet The Box,Tech Center
3827,5/21/99,International Bank Deal Nears Close,Major Business News
7496,5/21/99,Federal Budget Surplus Shrinks,Economy
14433,5/21/99,DLJdirect Boosts Size Price of IPO,Tech Center
13215,5/22/99,Olivetti Grabs 51 of Telecom Italia,Business and Finance - Europe
13435,5/23/99,Stocks Close Lower As Expiring Options Direct the Market,Today's Markets
2045,5/24/99,Avis to Acquire Cendant's PHH Unit,Major Business News
5296,5/24/99,PeopleSoft Names New President,Tech Center
5534,5/27/99,Doctors Won't Back University's Decision,Health
7429,5/29/99,Financial Issues Lift Taiwan's Index,Asian Stocks
13384,5/29/99,Microsoft Takes Its Nextel Stake,Tech Center
17187,5/29/99,Market Makes Rebound Ahead of Long Weekend,US Stocks
14177,5/30/99,Applied Materials to Buy Obsidian,Tech Center
17288,5/30/99,South Korea's Industrial Output Rose,Business and Finance - Asia
813,5/31/99,Canada's GDP Rose 03 in March,Americas
6905,5/31/99,Swedish Match Sells Cigarette Operations,Business and Finance - Europe
10967,6/1/99,Japan's Auto Sales Down 101,Business and Finance - Asia
12479,6/2/99,Maag to Buy UBS Properties,Business and Finance - Europe
14532,6/2/99,H-P Seeks to Reassure Analysts,Tech Center
1256,6/5/99,Venezuela Denies Oil Charges,Americas
2982,6/5/99,Cathay Pacific Cancels More Flights,Business and Finance - Asia
16959,6/5/99,Taiwan Ends Mixed Despite Rise in Techs,Asian Stocks
18715,6/8/99,Cyber Cafes Lose Their Buzz,Tech Center
17301,6/9/99,Spear Leeds Ex-Partner Receives Fine of 100000 for Illegal Trading,Major Business News
18647,6/9/99,Coach USA Considers Buyout Offer,Major Business News
5619,6/10/99,Mobil-Exxon Deal Faces Scrutiny,Business and Finance - Europe
377,6/12/99,Clinton Orders Child-Labor Effort,Major Business News
1707,6/12/99,Cathay Struggles to Resume Flights,Business and Finance - Asia
14037,6/12/99,France Details Lyonnais Offering,Business and Finance - Europe
6885,6/13/99,Bombardier Launches Business Jet,Americas
16397,6/13/99,Raytheon Gets 2 Billion Contract,Major Business News
16519,6/13/99,Dassault Aviation Splits Military Civil,Business and Finance - Europe
10780,6/14/99,Boeing Gets Orders for 35 Jets Also Enters Into Joint Venture,Major Business News
14387,6/14/99,Weaker Yen Sends Korean Stocks Down,Asian Stocks
5736,6/15/99,Nortel Networks' President to Resign,Tech Center
11283,6/15/99,Gates's Corbis to Acquire Sygma,Tech Center
16670,6/15/99,Sweden Ireland Post Inflation Data,Business and Finance - Europe
17873,6/15/99,Ecorp Surges 46 in Debut,Tech Center
769,6/16/99,Sites Court Folks Who Are Always Online,Tech Center
11977,6/16/99,Sprint Names First Black American to Board,Major Business News
10359,6/17/99,Greenspan Discusses Monetary Policy,Economy
2048,6/18/99,Tax Panel Set to Begin Work,Tech Center
12858,6/18/99,GoTo Viant Shine Other Net IPOs Idle,Tech Center
1925,6/19/99,Teaching Kids to Be Adult About Money,Business and Finance - Europe
10123,6/19/99,G-7 Approves IMF Gold-Sale Plan,Business and Finance - Europe
14409,6/19/99,China Russia Dominate G-7 Talks,Major Business News
11232,6/20/99,Windows 98 Annoys With Active Desktop,Tech Center
18474,6/20/99,Dollar Rises vs Yen As ECB Intervenes,Foreign Exchange
19018,6/21/99,Russia's Industrial Output Rose in May,Business and Finance - Europe
1324,6/22/99,Knight-Ridder Plans Portal Network,Tech Center
6103,6/22/99,Looking for 'Dot-Com' Winners,Tech Center
2195,6/23/99,Technology Briefs,Tech Briefs
10299,6/24/99,Ascent Entertainment Seeks CEO Leave of Absence,Media & Marketing
14214,6/24/99,Tech Sales Rebound in Asia,Tech Center
16943,6/24/99,CBOE Plans Screen System,Money & Investing
14827,6/26/99,Seoul to Pump More into Korea First Bank,Business and Finance - Asia
15325,6/26/99,Stock Rally Fades As Traders Worry About Fed Meeting,Today's Markets
9706,6/27/99,Sri Lankan Troops Kill 41 Rebels,Business and Finance - Asia
2119,6/28/99,CEOs Feeling Pain As Stocks Plunge,Money & Investing
13133,6/28/99,Wisconsin Energy Agrees to Buy Wicor,Major Business News
13139,6/28/99,Atlas Copco Pursues US Company,Major Business News
556,6/30/99,HMOs to Exit Unprofitable Markets,Major Business News
3325,7/1/99,Clinton Loosens Computer-Export Curbs,Tech Center
9491,7/1/99,Arnault to Invest in E-Commerce,Tech Center
10786,7/1/99,Headlines From Nikkei,Business and Finance - Asia
4189,7/2/99,Meta4 Makes Easdaq Debut,Tech Center
13295,7/2/99,Pakistan Maintains Line Against India,World-Wide
18932,7/3/99,Headlines From Nikkei,Business and Finance - Asia
18777,7/4/99,Headlines From Nikkei,Business and Finance - Asia
10249,7/5/99,Compaq Names New Executives,Tech Center
17302,7/5/99,Protestant Marchers Avoid Confronting Police During Parade,World-Wide
